state,year,month,unemployment_rate,employment,labor_force
Texas,2017.0,9.0,4.1,12956752,13513740
Utah,2017.0,9.0,3.1,1514568,1563453
Vermont,2017.0,9.0,2.9,344162,354302
Virginia,2017.0,9.0,3.5,4185403,4336048
Washington,2017.0,9.0,4.7,3579485,3754323
West Virginia,2017.0,9.0,5.2,744304,785534
Wisconsin,2017.0,9.0,3.2,3043943,3145226
Wyoming,2017.0,9.0,4.2,281030,293440
Alabama,2017.0,10.0,4,2118356,2207465
Alaska,2017.0,10.0,6.6,334824,358592
Arizona,2017.0,10.0,4.8,3102961,3261088
Arkansas,2017.0,10.0,3.8,1290667,1341423
California,2017.0,10.0,4.6,18341328,19228301
Colorado,2017.0,10.0,2.8,2913921,2997994
Connecticut,2017.0,10.0,4.3,1826621,1909315
Delaware,2017.0,10.0,4.3,457132,477521
District of Columbia,2017.0,10.0,6,371351,394951
Florida,2017.0,10.0,4.1,9582834,9992561
Georgia,2017.0,10.0,4.5,4883904,5114280
Hawaii,2017.0,10.0,2,679660,693299
Idaho,2017.0,10.0,3.1,821335,847840
Illinois,2017.0,10.0,4.9,6238406,6556880
Indiana,2017.0,10.0,3.5,3221467,3337543
Iowa,2017.0,10.0,3,1639620,1689899
Kansas,2017.0,10.0,3.5,1435980,1488379
Kentucky,2017.0,10.0,4.5,1953757,2045582
Louisiana,2017.0,10.0,4.7,2001407,2100649
Maine,2017.0,10.0,3.3,677627,700989
Maryland,2017.0,10.0,4.1,3125149,3258782
Massachusetts,2017.0,10.0,3.8,3602418,3743965
Michigan,2017.0,10.0,4.7,4688890,4921385
Minnesota,2017.0,10.0,3.3,2967904,3067975
Mississippi,2017.0,10.0,5,1204884,1267802
Missouri,2017.0,10.0,3.6,2935747,3046490
Montana,2017.0,10.0,4.1,508462,530057
Nebraska,2017.0,10.0,3,993513,1023841
Nevada,2017.0,10.0,4.9,1389018,1460220
New Hampshire,2017.0,10.0,2.8,737199,758293
New Jersey,2017.0,10.0,4.6,4394376,4606841
New Mexico,2017.0,10.0,5.7,889348,942756
New York,2017.0,10.0,4.7,9382584,9841071
North Carolina,2017.0,10.0,4.4,4663602,4879643
North Dakota,2017.0,10.0,2.6,402253,412936
Ohio,2017.0,10.0,4.8,5540886,5820642
Oklahoma,2017.0,10.0,3.9,1758109,1829311
Oregon,2017.0,10.0,4.2,1997077,2083825
Pennsylvania,2017.0,10.0,4.9,6162427,6478938
Rhode Island,2017.0,10.0,4.5,543422,569153
South Carolina,2017.0,10.0,4.2,2169807,2264971
South Dakota,2017.0,10.0,3,442936,456694
Tennessee,2017.0,10.0,3.4,3093705,3204205
Texas,2017.0,10.0,4.1,12975640,13529038
Utah,2017.0,10.0,3.1,1516080,1564691
Vermont,2017.0,10.0,2.9,344034,354172
Virginia,2017.0,10.0,3.5,4186249,4336283
Washington,2017.0,10.0,4.7,3581595,3756362
West Virginia,2017.0,10.0,5.3,744136,785741
Wisconsin,2017.0,10.0,3.2,3043013,3142143
Wyoming,2017.0,10.0,4.3,280618,293078
Alabama,2017.0,11.0,4,2120334,2208532
Alaska,2017.0,11.0,6.6,334203,357832
Arizona,2017.0,11.0,4.9,3107338,3266467
Arkansas,2017.0,11.0,3.8,1289264,1340197
California,2017.0,11.0,4.5,18346796,19218639
Colorado,2017.0,11.0,2.8,2917765,3003144
Connecticut,2017.0,11.0,4.3,1824891,1907135
Delaware,2017.0,11.0,4.2,457417,477579
District of Columbia,2017.0,11.0,5.9,371569,395001
Florida,2017.0,11.0,4.1,9592692,9997986
Georgia,2017.0,11.0,4.4,4886108,5113165
Hawaii,2017.0,11.0,2,679010,692653
Idaho,2017.0,11.0,3.1,822893,849291
Illinois,2017.0,11.0,4.8,6241805,6554599
Indiana,2017.0,11.0,3.4,3224313,3338026
Iowa,2017.0,11.0,2.9,1639458,1688795
Kansas,2017.0,11.0,3.5,1434554,1486470
Kentucky,2017.0,11.0,4.4,1953967,2043535
Louisiana,2017.0,11.0,4.7,2002322,2100733
Maine,2017.0,11.0,3.2,677066,699785
Maryland,2017.0,11.0,4.1,3123271,3257766
Massachusetts,2017.0,11.0,3.8,3608517,3749313
Michigan,2017.0,11.0,4.7,4688415,4919605
Minnesota,2017.0,11.0,3.2,2967801,3066127
Mississippi,2017.0,11.0,4.9,1204402,1266613
Missouri,2017.0,11.0,3.6,2933328,3043622
Montana,2017.0,11.0,4.1,508499,529992
Nebraska,2017.0,11.0,3,993495,1023864
Nevada,2017.0,11.0,4.8,1392574,1463526
New Hampshire,2017.0,11.0,2.8,737528,758611
New Jersey,2017.0,11.0,4.6,4388931,4599881
New Mexico,2017.0,11.0,5.5,889650,941750
New York,2017.0,11.0,4.6,9370253,9825046
North Carolina,2017.0,11.0,4.4,4663855,4877590
North Dakota,2017.0,11.0,2.6,401840,412665
Ohio,2017.0,11.0,4.7,5535448,5809489
Oklahoma,2017.0,11.0,3.8,1759464,1829780
Oregon,2017.0,11.0,4.2,1995796,2082386
Pennsylvania,2017.0,11.0,4.9,6160092,6476072
Rhode Island,2017.0,11.0,4.5,543396,569205
South Carolina,2017.0,11.0,4.2,2169220,2263175
South Dakota,2017.0,11.0,3,442795,456452
Tennessee,2017.0,11.0,3.5,3094526,3205969
Texas,2017.0,11.0,4.1,12994965,13546877
Utah,2017.0,11.0,3.1,1517480,1565804
Vermont,2017.0,11.0,2.9,343929,354051
Virginia,2017.0,11.0,3.4,4187612,4336807
Washington,2017.0,11.0,4.6,3584149,3758494
West Virginia,2017.0,11.0,5.3,743762,785656
Wisconsin,2017.0,11.0,3.1,3042341,3139070
Wyoming,2017.0,11.0,4.3,280233,292689
Alabama,2017.0,12.0,4,2122936,2210701
Alaska,2017.0,12.0,6.6,333697,357103
Arizona,2017.0,12.0,4.9,3113373,3273052
Arkansas,2017.0,12.0,3.8,1288255,1339224
California,2017.0,12.0,4.5,18357229,19214570
Colorado,2017.0,12.0,2.9,2922501,3008759
Connecticut,2017.0,12.0,4.3,1824544,1906047
Delaware,2017.0,12.0,4.2,457840,477707
District of Columbia,2017.0,12.0,5.9,371936,395250
Florida,2017.0,12.0,4,9607017,10007150
Georgia,2017.0,12.0,4.4,4887940,5111412
Hawaii,2017.0,12.0,2,678766,692634
Idaho,2017.0,12.0,3.1,824545,850626
Illinois,2017.0,12.0,4.7,6246895,6552397
Indiana,2017.0,12.0,3.3,3229529,3341073
Iowa,2017.0,12.0,2.9,1640345,1688678
Kansas,2017.0,12.0,3.5,1433981,1485497
Kentucky,2017.0,12.0,4.3,1954328,2042076
Louisiana,2017.0,12.0,4.7,2003667,2101751
Maine,2017.0,12.0,3.1,676786,698782
Maryland,2017.0,12.0,4.1,3122568,3256935
Massachusetts,2017.0,12.0,3.7,3617581,3757459
Michigan,2017.0,12.0,4.6,4691040,4918650
Minnesota,2017.0,12.0,3.2,2968072,3064718
Mississippi,2017.0,12.0,4.9,1204242,1266035
Missouri,2017.0,12.0,3.6,2932298,3041674
Montana,2017.0,12.0,4,508796,530058
Nebraska,2017.0,12.0,3,993978,1024266
Nevada,2017.0,12.0,4.8,1396626,1467126
New Hampshire,2017.0,12.0,2.8,738340,759358
New Jersey,2017.0,12.0,4.5,4385709,4593657
New Mexico,2017.0,12.0,5.4,890480,941150
New York,2017.0,12.0,4.6,9361966,9810886
North Carolina,2017.0,12.0,4.3,4665504,4875928
North Dakota,2017.0,12.0,2.6,401654,412576
Ohio,2017.0,12.0,4.6,5530246,5799019
Oklahoma,2017.0,12.0,3.8,1761160,1830382
Oregon,2017.0,12.0,4.1,1994796,2080849
Pennsylvania,2017.0,12.0,4.9,6160795,6474865
Rhode Island,2017.0,12.0,4.5,543668,569398
South Carolina,2017.0,12.0,4,2170371,2261625
South Dakota,2017.0,12.0,3,442860,456396
Tennessee,2017.0,12.0,3.5,3095960,3208324
Texas,2017.0,12.0,4.1,13017098,13568610
Utah,2017.0,12.0,3.1,1519268,1567240
Vermont,2017.0,12.0,2.8,343953,354016
Virginia,2017.0,12.0,3.4,4190826,4338678
Washington,2017.0,12.0,4.6,3588913,3762487
West Virginia,2017.0,12.0,5.4,743600,785676
Wisconsin,2017.0,12.0,3,3042204,3136815
Wyoming,2017.0,12.0,4.2,279991,292378
Alabama,2018.0,1.0,4,2126765,2214527
Alaska,2018.0,1.0,6.5,333399,356498
Arizona,2018.0,1.0,4.9,3121522,3281017
Arkansas,2018.0,1.0,3.8,1287906,1338772
California,2018.0,1.0,4.4,18376536,19222096
Colorado,2018.0,1.0,2.9,2928961,3015824
Connecticut,2018.0,1.0,4.2,1825828,1906315
Delaware,2018.0,1.0,4.1,458620,478139
District of Columbia,2018.0,1.0,5.9,372482,395730
Florida,2018.0,1.0,3.9,9626161,10020689
Georgia,2018.0,1.0,4.3,4891070,5110825
Hawaii,2018.0,1.0,2.1,679023,693275
Idaho,2018.0,1.0,3,826507,852121
Illinois,2018.0,1.0,4.5,6253124,6550963
Indiana,2018.0,1.0,3.3,3237478,3347959
Iowa,2018.0,1.0,2.8,1642992,1690271
Kansas,2018.0,1.0,3.4,1434730,1485942
Kentucky,2018.0,1.0,4.2,1955398,2042001
Louisiana,2018.0,1.0,4.7,2005560,2104108
Maine,2018.0,1.0,3.1,676986,698341
Maryland,2018.0,1.0,4.1,3124110,3257332
Massachusetts,2018.0,1.0,3.7,3630409,3769274
Michigan,2018.0,1.0,4.5,4697980,4920884
Minnesota,2018.0,1.0,3.1,2969361,3064496
Mississippi,2018.0,1.0,4.9,1204494,1266186
Missouri,2018.0,1.0,3.5,2933418,3041374
Montana,2018.0,1.0,3.9,509456,530392
Nebraska,2018.0,1.0,2.9,995183,1025277
Nevada,2018.0,1.0,4.7,1401511,1471357
New Hampshire,2018.0,1.0,2.8,739735,760670
New Jersey,2018.0,1.0,4.4,4386416,4590359
New Mexico,2018.0,1.0,5.2,891977,941212
New York,2018.0,1.0,4.5,9361990,9803080
North Carolina,2018.0,1.0,4.2,4670755,4877314
North Dakota,2018.0,1.0,2.6,401720,412653
Ohio,2018.0,1.0,4.6,5528236,5793192
Oklahoma,2018.0,1.0,3.7,1763627,1831536
Oregon,2018.0,1.0,4.1,1994389,2079631
Pennsylvania,2018.0,1.0,4.8,6166344,6476843
Rhode Island,2018.0,1.0,4.5,544409,569855
South Carolina,2018.0,1.0,3.9,2173905,2261165
South Dakota,2018.0,1.0,2.9,443244,456643
Tennessee,2018.0,1.0,3.5,3099678,3212889
Texas,2018.0,1.0,4.1,13044129,13595908
Utah,2018.0,1.0,3,1521817,1569406
Vermont,2018.0,1.0,2.8,344164,354113
Virginia,2018.0,1.0,3.4,4196731,4342632
Washington,2018.0,1.0,4.6,3597301,3769895
West Virginia,2018.0,1.0,5.4,744067,786241
Wisconsin,2018.0,1.0,3,3042747,3136136
Wyoming,2018.0,1.0,4.2,279961,292255
Alabama,2018.0,2.0,4,2132029,2220091
Alaska,2018.0,2.0,6.4,333341,356060
Arizona,2018.0,2.0,4.8,3131841,3290510
Arkansas,2018.0,2.0,3.8,1288386,1338982
California,2018.0,2.0,4.3,18406818,19243453
Colorado,2018.0,2.0,2.9,2937298,3024932
Connecticut,2018.0,2.0,4.2,1828894,1908198
Delaware,2018.0,2.0,4,459843,478988
District of Columbia,2018.0,2.0,5.9,373383,396596
Florida,2018.0,2.0,3.9,9649639,10038622
Georgia,2018.0,2.0,4.2,4896852,5113029
Hawaii,2018.0,2.0,2.1,679684,694409
Idaho,2018.0,2.0,2.9,828939,854034
Illinois,2018.0,2.0,4.4,6260549,6551798
Indiana,2018.0,2.0,3.3,3248071,3358941
Iowa,2018.0,2.0,2.7,1647615,1693853
Kansas,2018.0,2.0,3.4,1436771,1487776
Kentucky,2018.0,2.0,4.2,1957843,2043979
Louisiana,2018.0,2.0,4.7,2007821,2107711
Maine,2018.0,2.0,3,677722,698713
Maryland,2018.0,2.0,4,3128333,3259763
Massachusetts,2018.0,2.0,3.6,3646630,3784535
Michigan,2018.0,2.0,4.4,4709182,4927259
Minnesota,2018.0,2.0,3.1,2971966,3065788
Mississippi,2018.0,2.0,4.9,1205466,1267261
Missouri,2018.0,2.0,3.5,2936838,3042969
Montana,2018.0,2.0,3.9,510516,531118
Nebraska,2018.0,2.0,2.9,997144,1027012
Nevada,2018.0,2.0,4.7,1407392,1476371
New Hampshire,2018.0,2.0,2.7,741717,762613
New Jersey,2018.0,2.0,4.4,4392094,4592098
New Mexico,2018.0,2.0,5.1,894133,942012
New York,2018.0,2.0,4.4,9372131,9804282
North Carolina,2018.0,2.0,4.2,4680170,4882825
North Dakota,2018.0,2.0,2.6,402014,412835
Ohio,2018.0,2.0,4.5,5531475,5794297
Oklahoma,2018.0,2.0,3.6,1766854,1833233
Oregon,2018.0,2.0,4.1,1994698,2078914
Pennsylvania,2018.0,2.0,4.7,6177510,6482943
Rhode Island,2018.0,2.0,4.4,545687,570638
South Carolina,2018.0,2.0,3.7,2179944,2262610
South Dakota,2018.0,2.0,2.9,443969,457231
Tennessee,2018.0,2.0,3.5,3106759,3220532
Texas,2018.0,2.0,4.1,13077375,13629499
Utah,2018.0,2.0,3,1525321,1572534
Vermont,2018.0,2.0,2.8,344581,354366
Virginia,2018.0,2.0,3.3,4205546,4348614
Washington,2018.0,2.0,4.5,3609613,3781049
West Virginia,2018.0,2.0,5.4,745357,787537
Wisconsin,2018.0,2.0,3,3043863,3137140
Wyoming,2018.0,2.0,4.2,280179,292389
Alabama,2018.0,3.0,4,2137519,2225982
Alaska,2018.0,3.0,6.3,333482,355769
Arizona,2018.0,3.0,4.8,3143458,3300813
Arkansas,2018.0,3.0,3.7,1289560,1339618
California,2018.0,3.0,4.3,18443706,19272324
Colorado,2018.0,3.0,2.9,2946400,3035284
Connecticut,2018.0,3.0,4.1,1833417,1911441
Delaware,2018.0,3.0,3.9,461291,480050
District of Columbia,2018.0,3.0,5.8,374407,397571
Florida,2018.0,3.0,3.8,9674888,10058444
Georgia,2018.0,3.0,4.2,4904508,5117242
Hawaii,2018.0,3.0,2.2,680434,695627
Idaho,2018.0,3.0,2.9,831672,856277
Illinois,2018.0,3.0,4.4,6268079,6554433
Indiana,2018.0,3.0,3.3,3259971,3372302
Iowa,2018.0,3.0,2.7,1653481,1698663
Kansas,2018.0,3.0,3.4,1439529,1490246
Kentucky,2018.0,3.0,4.2,1961267,2047306
Louisiana,2018.0,3.0,4.8,2009679,2111364
Maine,2018.0,3.0,3,678722,699692
Maryland,2018.0,3.0,4,3134380,3263750
Massachusetts,2018.0,3.0,3.6,3663925,3800886
Michigan,2018.0,3.0,4.3,4722367,4935364
Minnesota,2018.0,3.0,3,2975407,3067888
Mississippi,2018.0,3.0,4.9,1207200,1269105
Missouri,2018.0,3.0,3.4,2941506,3045227
Montana,2018.0,3.0,3.8,511855,532148
Nebraska,2018.0,3.0,2.9,999542,1029174
Nevada,2018.0,3.0,4.6,1413899,1481806
New Hampshire,2018.0,3.0,2.7,744061,764962
New Jersey,2018.0,3.0,4.3,4401537,4598161
New Mexico,2018.0,3.0,4.9,896633,943279
New York,2018.0,3.0,4.3,9390650,9813082
North Carolina,2018.0,3.0,4.1,4692280,4891265
North Dakota,2018.0,3.0,2.6,402385,412956
Ohio,2018.0,3.0,4.5,5539187,5800942
Oklahoma,2018.0,3.0,3.5,1770147,1834709
Oregon,2018.0,3.0,4,1995326,2078289
Pennsylvania,2018.0,3.0,4.6,6192631,6491802
Rhode Island,2018.0,3.0,4.3,547282,571611
South Carolina,2018.0,3.0,3.5,2187637,2265979
South Dakota,2018.0,3.0,2.9,444871,457969
Tennessee,2018.0,3.0,3.5,3116287,3230150
Texas,2018.0,3.0,4,13114155,13665155
Utah,2018.0,3.0,3,1529405,1576272
Vermont,2018.0,3.0,2.7,345132,354697
Virginia,2018.0,3.0,3.2,4215726,4354678
Washington,2018.0,3.0,4.5,3624440,3794275
West Virginia,2018.0,3.0,5.3,747299,789331
Wisconsin,2018.0,3.0,3,3044707,3138675
Wyoming,2018.0,3.0,4.1,280557,292701
Alabama,2018.0,4.0,4,2142721,2231472
Alaska,2018.0,4.0,6.1,333634,355468
Arizona,2018.0,4.0,4.7,3154642,3310523
Arkansas,2018.0,4.0,3.7,1290778,1339999
California,2018.0,4.0,4.2,18476837,19296900
Colorado,2018.0,4.0,3,2954342,3044888
Connecticut,2018.0,4.0,4,1838503,1915210
Delaware,2018.0,4.0,3.8,462474,480845
District of Columbia,2018.0,4.0,5.8,375012,398044
Florida,2018.0,4.0,3.7,9699014,10076751
Georgia,2018.0,4.0,4.1,4910972,5120103
Hawaii,2018.0,4.0,2.2,680823,696418
Idaho,2018.0,4.0,2.8,834274,858466
Illinois,2018.0,4.0,4.3,6273427,6556223
Indiana,2018.0,4.0,3.4,3270547,3384540
Iowa,2018.0,4.0,2.6,1659036,1703146
Kansas,2018.0,4.0,3.4,1442082,1492261
Kentucky,2018.0,4.0,4.2,1964210,2050301
Louisiana,2018.0,4.0,4.9,2009891,2113091
Maine,2018.0,4.0,3,679495,700751
Maryland,2018.0,4.0,3.9,3140120,3267484
Massachusetts,2018.0,4.0,3.6,3679263,3815127
Michigan,2018.0,4.0,4.2,4733613,4940831
Minnesota,2018.0,4.0,3,2978285,3069300
Mississippi,2018.0,4.0,4.9,1208249,1270137
Missouri,2018.0,4.0,3.3,2945488,3046286
Montana,2018.0,4.0,3.8,513154,533182
Nebraska,2018.0,4.0,2.8,1001770,1031157
Nevada,2018.0,4.0,4.5,1420199,1486875
New Hampshire,2018.0,4.0,2.7,746301,767150
New Jersey,2018.0,4.0,4.2,4411555,4605163
New Mexico,2018.0,4.0,4.8,898840,944469
New York,2018.0,4.0,4.2,9411705,9823863
North Carolina,2018.0,4.0,4,4703477,4899267
North Dakota,2018.0,4.0,2.5,402569,412781
Ohio,2018.0,4.0,4.5,5548135,5808831
Oklahoma,2018.0,4.0,3.4,1772313,1834720
Oregon,2018.0,4.0,3.9,1995606,2077094
Pennsylvania,2018.0,4.0,4.5,6207975,6500303
Rhode Island,2018.0,4.0,4.1,548755,572453
South Carolina,2018.0,4.0,3.3,2195173,2270297
South Dakota,2018.0,4.0,2.8,445660,458546
Tennessee,2018.0,4.0,3.5,3125615,3239107
Texas,2018.0,4.0,4,13147247,13694410
Utah,2018.0,4.0,2.9,1533207,1579760
Vermont,2018.0,4.0,2.6,345656,354958
Virginia,2018.0,4.0,3.1,4223843,4357520
Washington,2018.0,4.0,4.4,3638946,3806442
West Virginia,2018.0,4.0,5.3,749328,790986
Wisconsin,2018.0,4.0,3,3044037,3138784
Wyoming,2018.0,4.0,4.1,280897,292992
Alabama,2018.0,5.0,4,2146112,2234988
Alaska,2018.0,5.0,6,333651,355095
Arizona,2018.0,5.0,4.7,3164168,3319150
Arkansas,2018.0,5.0,3.6,1291458,1339773
California,2018.0,5.0,4.2,18497884,19310247
Colorado,2018.0,5.0,3,2959917,3052254
Connecticut,2018.0,5.0,3.9,1842992,1918502
Delaware,2018.0,5.0,3.7,463109,481117
District of Columbia,2018.0,5.0,5.7,375001,397790
Florida,2018.0,5.0,3.7,9719961,10091633
Georgia,2018.0,5.0,4,4913776,5119347
Hawaii,2018.0,5.0,2.3,680474,696457
Idaho,2018.0,5.0,2.8,836427,860364
Illinois,2018.0,5.0,4.3,6275203,6556049
Indiana,2018.0,5.0,3.4,3277544,3392942
Iowa,2018.0,5.0,2.5,1663031,1706274
Kansas,2018.0,5.0,3.3,1443647,1493178
Kentucky,2018.0,5.0,4.2,1965390,2051706
Louisiana,2018.0,5.0,4.9,2007925,2111988
Maine,2018.0,5.0,3.1,679696,701466
Maryland,2018.0,5.0,3.8,3143852,3269533
Massachusetts,2018.0,5.0,3.5,3690853,3825483
Michigan,2018.0,5.0,4.1,4740310,4942041
Minnesota,2018.0,5.0,2.9,2979549,3069405
Mississippi,2018.0,5.0,4.9,1208341,1270079
Missouri,2018.0,5.0,3.2,2947403,3045398
Montana,2018.0,5.0,3.7,514144,533977
Nebraska,2018.0,5.0,2.8,1003338,1032631
Nevada,2018.0,5.0,4.4,1425669,1491150
New Hampshire,2018.0,5.0,2.7,747944,768610
New Jersey,2018.0,5.0,4.1,4419465,4610201
New Mexico,2018.0,5.0,4.8,900253,945219
New York,2018.0,5.0,4.1,9428535,9830800
North Carolina,2018.0,5.0,3.9,4710781,4904424
North Dakota,2018.0,5.0,2.4,402397,412241
Ohio,2018.0,5.0,4.5,5555058,5814368
Oklahoma,2018.0,5.0,3.3,1772700,1832883
Oregon,2018.0,5.0,3.9,1995017,2075233
Pennsylvania,2018.0,5.0,4.4,6220361,6506622
Rhode Island,2018.0,5.0,4,549751,572881
South Carolina,2018.0,5.0,3.2,2201129,2274737
South Dakota,2018.0,5.0,2.8,446127,458806
Tennessee,2018.0,5.0,3.5,3132665,3245698
Texas,2018.0,5.0,4,13171017,13712961
Utah,2018.0,5.0,2.9,1536111,1582426
Vermont,2018.0,5.0,2.5,346017,355045
Virginia,2018.0,5.0,2.9,4227301,4355424
Washington,2018.0,5.0,4.3,3650706,3815647
West Virginia,2018.0,5.0,5.2,750929,792107
Wisconsin,2018.0,5.0,3,3041044,3136204
Wyoming,2018.0,5.0,4.1,281062,293103
Alabama,2018.0,6.0,4,2148396,2237074
Alaska,2018.0,6.0,6,333509,354670
Arizona,2018.0,6.0,4.7,3172145,3327171
Arkansas,2018.0,6.0,3.6,1291689,1339258
California,2018.0,6.0,4.2,18506956,19313643
Colorado,2018.0,6.0,3.1,2963250,3057124
Connecticut,2018.0,6.0,3.9,1846578,1921010
Delaware,2018.0,6.0,3.7,463280,480929
District of Columbia,2018.0,6.0,5.7,374526,396959
Florida,2018.0,6.0,3.6,9736980,10102374
Georgia,2018.0,6.0,4,4913151,5115324
Hawaii,2018.0,6.0,2.4,679382,695776
Idaho,2018.0,6.0,2.8,838108,861966
Illinois,2018.0,6.0,4.3,6274294,6554579
Indiana,2018.0,6.0,3.4,3280390,3396811
Iowa,2018.0,6.0,2.5,1665279,1707955
Kansas,2018.0,6.0,3.3,1444101,1492967
Kentucky,2018.0,6.0,4.2,1964898,2051396
Louisiana,2018.0,6.0,4.9,2004570,2108638
Maine,2018.0,6.0,3.2,679367,701698
Maryland,2018.0,6.0,3.8,3145854,3269981
Massachusetts,2018.0,6.0,3.5,3698647,3831789
Michigan,2018.0,6.0,4,4742445,4940348
Minnesota,2018.0,6.0,2.9,2979399,3068591
Mississippi,2018.0,6.0,4.8,1207406,1268826
Missouri,2018.0,6.0,3.1,2947354,3042998
Montana,2018.0,6.0,3.7,514801,534497
Nebraska,2018.0,6.0,2.8,1004227,1033622
Nevada,2018.0,6.0,4.3,1430267,1494756
New Hampshire,2018.0,6.0,2.6,748880,769231
New Jersey,2018.0,6.0,4.1,4424839,4612096
New Mexico,2018.0,6.0,4.7,900836,945552
New York,2018.0,6.0,4,9438890,9832509
North Carolina,2018.0,6.0,3.9,4714182,4906758
North Dakota,2018.0,6.0,2.3,401958,411498
Ohio,2018.0,6.0,4.4,5558651,5816161
Oklahoma,2018.0,6.0,3.2,1771734,1829926
Oregon,2018.0,6.0,3.8,1993918,2073562
Pennsylvania,2018.0,6.0,4.3,6229246,6510858
Rhode Island,2018.0,6.0,4,550209,572875
South Carolina,2018.0,6.0,3.2,2205560,2279239
South Dakota,2018.0,6.0,2.7,446295,458793
Tennessee,2018.0,6.0,3.5,3137775,3250483
Texas,2018.0,6.0,3.9,13186203,13722218
Utah,2018.0,6.0,2.9,1538160,1584302
Vermont,2018.0,6.0,2.5,346171,354936
Virginia,2018.0,6.0,2.8,4226830,4350195
Washington,2018.0,6.0,4.3,3659243,3822176
West Virginia,2018.0,6.0,5.1,752001,792628
Wisconsin,2018.0,6.0,3,3036176,3131226
Wyoming,2018.0,6.0,4.1,281062,293022
Alabama,2018.0,7.0,3.9,2150399,2238463
Alaska,2018.0,7.0,5.9,333233,354202
Arizona,2018.0,7.0,4.7,3179042,3335123
Arkansas,2018.0,7.0,3.5,1291749,1338897
California,2018.0,7.0,4.2,18507679,19311140
Colorado,2018.0,7.0,3.1,2964993,3059993
Connecticut,2018.0,7.0,3.8,1849448,1922888
Delaware,2018.0,7.0,3.6,463197,480484
District of Columbia,2018.0,7.0,5.6,373870,395872
Florida,2018.0,7.0,3.6,9750327,10109684
Georgia,2018.0,7.0,3.9,4910334,5109510
Hawaii,2018.0,7.0,2.4,677753,694556
Idaho,2018.0,7.0,2.8,839437,863362
Illinois,2018.0,7.0,4.3,6271554,6552241
Indiana,2018.0,7.0,3.4,3279240,3396231
Iowa,2018.0,7.0,2.5,1666117,1708522
Kansas,2018.0,7.0,3.2,1443752,1491979
Kentucky,2018.0,7.0,4.2,1963079,2049557
Louisiana,2018.0,7.0,4.9,2000799,2103945
Maine,2018.0,7.0,3.3,678628,701436
Maryland,2018.0,7.0,3.7,3147134,3269608
Massachusetts,2018.0,7.0,3.4,3703238,3834581
Michigan,2018.0,7.0,4,4741552,4937813
Minnesota,2018.0,7.0,2.9,2978495,3067455
Mississippi,2018.0,7.0,4.8,1205608,1266735
Missouri,2018.0,7.0,3.1,2946039,3039930
Montana,2018.0,7.0,3.7,515257,534832
Nebraska,2018.0,7.0,2.9,1004723,1034310
Nevada,2018.0,7.0,4.3,1434174,1497993
New Hampshire,2018.0,7.0,2.6,749267,769227
New Jersey,2018.0,7.0,4,4428154,4611059
New Mexico,2018.0,7.0,4.7,900762,945649
New York,2018.0,7.0,3.9,9443658,9830902
North Carolina,2018.0,7.0,3.9,4714462,4906826
North Dakota,2018.0,7.0,2.3,401447,410769
Ohio,2018.0,7.0,4.4,5559003,5815042
Oklahoma,2018.0,7.0,3.1,1770044,1826644
Oregon,2018.0,7.0,3.9,1992436,2072518
Pennsylvania,2018.0,7.0,4.3,6235376,6513633
Rhode Island,2018.0,7.0,3.9,550161,572513
South Carolina,2018.0,7.0,3.3,2209256,2283852
South Dakota,2018.0,7.0,2.7,446275,458603
Tennessee,2018.0,7.0,3.5,3141385,3253879
Texas,2018.0,7.0,3.9,13195670,13725433
Utah,2018.0,7.0,2.9,1539651,1585625
Vermont,2018.0,7.0,2.4,346103,354645
Virginia,2018.0,7.0,2.8,4224330,4344543
Washington,2018.0,7.0,4.2,3665113,3827191
West Virginia,2018.0,7.0,5,752592,792602
Wisconsin,2018.0,7.0,3,3030551,3124973
Wyoming,2018.0,7.0,4.1,280949,292817
Alabama,2018.0,8.0,3.9,2151904,2239251
Alaska,2018.0,8.0,5.9,332823,353725
Arizona,2018.0,8.0,4.7,3185810,3344235
Arkansas,2018.0,8.0,3.5,1292051,1339306
California,2018.0,8.0,4.2,18506230,19311464
Colorado,2018.0,8.0,3.1,2966337,3062145
Connecticut,2018.0,8.0,3.8,1851828,1924548
Delaware,2018.0,8.0,3.5,463144,480135
District of Columbia,2018.0,8.0,5.5,373265,394964
Florida,2018.0,8.0,3.5,9761569,10116757
Georgia,2018.0,8.0,3.9,4907223,5104655
Hawaii,2018.0,8.0,2.5,675845,693097
Idaho,2018.0,8.0,2.8,840714,864894
Illinois,2018.0,8.0,4.3,6268612,6551206
Indiana,2018.0,8.0,3.5,3275860,3393393
Iowa,2018.0,8.0,2.5,1666367,1708907
Kansas,2018.0,8.0,3.2,1443209,1491132
Kentucky,2018.0,8.0,4.2,1960799,2047172
Louisiana,2018.0,8.0,4.9,1997548,2099491
Maine,2018.0,8.0,3.3,677758,700956
Maryland,2018.0,8.0,3.7,3149195,3270271
Massachusetts,2018.0,8.0,3.4,3706194,3835875
Michigan,2018.0,8.0,4,4740538,4937504
Minnesota,2018.0,8.0,2.9,2977839,3067472
Mississippi,2018.0,8.0,4.8,1204004,1265370
Missouri,2018.0,8.0,3.1,2944615,3037789
Montana,2018.0,8.0,3.6,515719,535249
Nebraska,2018.0,8.0,2.9,1005219,1035154
