state,year,month,unemployment_rate,employment,labor_force
Michigan,2015.0,3.0,5.8,4487914,4763675
Minnesota,2015.0,3.0,3.8,2894084,3009713
Mississippi,2015.0,3.0,6.6,1171967,1255338
Missouri,2015.0,3.0,5.5,2881363,3050531
Montana,2015.0,3.0,4.2,497301,519291
Nebraska,2015.0,3.0,2.9,982371,1012006
Nevada,2015.0,3.0,7.3,1291256,1392287
New Hampshire,2015.0,3.0,3.7,722483,750431
New Jersey,2015.0,3.0,6.2,4314341,4600965
New Mexico,2015.0,3.0,6.6,879470,941739
New York,2015.0,3.0,5.6,9187558,9730674
North Carolina,2015.0,3.0,5.8,4421751,4693481
North Dakota,2015.0,3.0,2.7,403271,414498
Ohio,2015.0,3.0,5.1,5434385,5728534
Oklahoma,2015.0,3.0,4.2,1747012,1823690
Oregon,2015.0,3.0,5.7,1849561,1961126
Pennsylvania,2015.0,3.0,5.6,6095810,6454403
Rhode Island,2015.0,3.0,6.4,530920,567037
South Carolina,2015.0,3.0,6.3,2096610,2238395
South Dakota,2015.0,3.0,3.1,435380,449521
Tennessee,2015.0,3.0,5.9,2888465,3070631
Texas,2015.0,3.0,4.5,12414507,12994457
Utah,2015.0,3.0,3.5,1398739,1449776
Vermont,2015.0,3.0,3.6,340619,353266
Virginia,2015.0,3.0,4.6,4037220,4232923
Washington,2015.0,3.0,5.5,3334727,3528031
West Virginia,2015.0,3.0,6.6,742009,794694
Wisconsin,2015.0,3.0,4.6,2948476,3091803
Wyoming,2015.0,3.0,4,289372,301424
Alabama,2015.0,4.0,6.1,2040484,2173967
Alaska,2015.0,4.0,6.3,339383,362180
Arizona,2015.0,4.0,6.2,2909268,3101717
Arkansas,2015.0,4.0,5.3,1263225,1334305
California,2015.0,4.0,6.5,17616628,18848322
Colorado,2015.0,4.0,4,2700190,2811615
Connecticut,2015.0,4.0,5.7,1800501,1910119
Delaware,2015.0,4.0,4.9,437613,460259
District of Columbia,2015.0,4.0,7.1,353070,380227
Florida,2015.0,4.0,5.7,9023183,9569380
Georgia,2015.0,4.0,6.2,4440239,4735953
Hawaii,2015.0,4.0,3.6,657239,681613
Idaho,2015.0,4.0,3.9,764464,795780
Illinois,2015.0,4.0,6,6149640,6544294
Indiana,2015.0,4.0,5,3090897,3252300
Iowa,2015.0,4.0,3.8,1642018,1706203
Kansas,2015.0,4.0,4.4,1431866,1497182
Kentucky,2015.0,4.0,5.3,1877847,1982464
Louisiana,2015.0,4.0,6.5,2020626,2160724
Maine,2015.0,4.0,4.6,660181,692064
Maryland,2015.0,4.0,5.2,3002031,3167278
Massachusetts,2015.0,4.0,5,3446745,3626445
Michigan,2015.0,4.0,5.7,4494470,4766275
Minnesota,2015.0,4.0,3.8,2898454,3014026
Mississippi,2015.0,4.0,6.6,1175386,1257989
Missouri,2015.0,4.0,5.5,2885247,3051973
Montana,2015.0,4.0,4.2,497907,519870
Nebraska,2015.0,4.0,3,982306,1012259
Nevada,2015.0,4.0,7.1,1294093,1393710
New Hampshire,2015.0,4.0,3.6,722492,749781
New Jersey,2015.0,4.0,6.1,4319441,4601645
New Mexico,2015.0,4.0,6.7,879300,942216
New York,2015.0,4.0,5.5,9204589,9740242
North Carolina,2015.0,4.0,5.8,4427027,4700619
North Dakota,2015.0,4.0,2.8,402259,413654
Ohio,2015.0,4.0,5.1,5436356,5727608
Oklahoma,2015.0,4.0,4.3,1748825,1827272
Oregon,2015.0,4.0,5.6,1853504,1964359
Pennsylvania,2015.0,4.0,5.5,6104015,6461555
Rhode Island,2015.0,4.0,6.3,531331,566925
South Carolina,2015.0,4.0,6.2,2100758,2240573
South Dakota,2015.0,4.0,3.1,435586,449658
Tennessee,2015.0,4.0,5.8,2894532,3074122
Texas,2015.0,4.0,4.4,12420862,12997813
Utah,2015.0,4.0,3.5,1402347,1453518
Vermont,2015.0,4.0,3.5,340437,352923
Virginia,2015.0,4.0,4.6,4039414,4232210
Washington,2015.0,4.0,5.5,3340930,3533695
West Virginia,2015.0,4.0,6.7,741231,794714
Wisconsin,2015.0,4.0,4.6,2949987,3091466
Wyoming,2015.0,4.0,4,289115,301225
Alabama,2015.0,5.0,6.1,2040868,2174501
Alaska,2015.0,5.0,6.3,339207,361928
Arizona,2015.0,5.0,6.2,2914891,3106411
Arkansas,2015.0,5.0,5.2,1265338,1334929
California,2015.0,5.0,6.4,17643698,18852828
Colorado,2015.0,5.0,3.9,2704756,2813611
Connecticut,2015.0,5.0,5.7,1799142,1907097
Delaware,2015.0,5.0,4.9,438587,461075
District of Columbia,2015.0,5.0,7,353993,380770
Florida,2015.0,5.0,5.6,9039337,9578842
Georgia,2015.0,5.0,6.2,4443721,4735356
Hawaii,2015.0,5.0,3.5,658354,682114
Idaho,2015.0,5.0,4,766262,797796
Illinois,2015.0,5.0,6,6158683,6551834
Indiana,2015.0,5.0,4.8,3099232,3256839
Iowa,2015.0,5.0,3.7,1641329,1704780
Kansas,2015.0,5.0,4.3,1432655,1497110
Kentucky,2015.0,5.0,5.3,1876487,1980575
Louisiana,2015.0,5.0,6.4,2019193,2156254
Maine,2015.0,5.0,4.5,659760,690812
Maryland,2015.0,5.0,5.1,3006518,3169758
Massachusetts,2015.0,5.0,4.9,3447680,3624724
Michigan,2015.0,5.0,5.6,4502137,4769372
Minnesota,2015.0,5.0,3.8,2902062,3017178
Mississippi,2015.0,5.0,6.5,1178249,1259898
Missouri,2015.0,5.0,5.3,2889427,3052454
Montana,2015.0,5.0,4.2,498101,520065
Nebraska,2015.0,5.0,3,982672,1012908
Nevada,2015.0,5.0,7,1296756,1394779
New Hampshire,2015.0,5.0,3.5,722321,748830
New Jersey,2015.0,5.0,6,4324741,4600754
New Mexico,2015.0,5.0,6.7,879126,942410
New York,2015.0,5.0,5.4,9219213,9744552
North Carolina,2015.0,5.0,5.8,4432283,4706315
North Dakota,2015.0,5.0,2.8,401458,412965
Ohio,2015.0,5.0,5,5440072,5726888
Oklahoma,2015.0,5.0,4.3,1749307,1828834
Oregon,2015.0,5.0,5.6,1858192,1968414
Pennsylvania,2015.0,5.0,5.5,6113327,6468552
Rhode Island,2015.0,5.0,6.2,531461,566373
South Carolina,2015.0,5.0,6.1,2104903,2241910
South Dakota,2015.0,5.0,3.1,435854,449843
Tennessee,2015.0,5.0,5.7,2900641,3077173
Texas,2015.0,5.0,4.4,12429664,13004689
Utah,2015.0,5.0,3.5,1405887,1457187
Vermont,2015.0,5.0,3.5,340094,352438
Virginia,2015.0,5.0,4.5,4042017,4231145
Washington,2015.0,5.0,5.4,3347069,3539458
West Virginia,2015.0,5.0,6.8,740604,794426
Wisconsin,2015.0,5.0,4.5,2951990,3091078
Wyoming,2015.0,5.0,4.1,288812,301027
Alabama,2015.0,6.0,6.1,2040000,2173391
Alaska,2015.0,6.0,6.2,338950,361540
Arizona,2015.0,6.0,6.1,2919814,3110554
Arkansas,2015.0,6.0,5.1,1267143,1334831
California,2015.0,6.0,6.3,17665593,18848420
Colorado,2015.0,6.0,3.8,2709421,2815094
Connecticut,2015.0,6.0,5.6,1797091,1903378
Delaware,2015.0,6.0,4.8,439535,461824
District of Columbia,2015.0,6.0,6.9,354843,381214
Florida,2015.0,6.0,5.5,9055124,9586944
Georgia,2015.0,6.0,6.1,4447025,4734169
Hawaii,2015.0,6.0,3.4,659330,682503
Idaho,2015.0,6.0,4,767771,799382
Illinois,2015.0,6.0,6,6166066,6556268
Indiana,2015.0,6.0,4.7,3107195,3261547
Iowa,2015.0,6.0,3.7,1640132,1702889
Kansas,2015.0,6.0,4.2,1433791,1496942
Kentucky,2015.0,6.0,5.2,1874754,1978069
Louisiana,2015.0,6.0,6.2,2016752,2150797
Maine,2015.0,6.0,4.4,659278,689522
Maryland,2015.0,6.0,5.1,3009469,3170663
Massachusetts,2015.0,6.0,4.8,3447433,3621649
Michigan,2015.0,6.0,5.5,4510140,4771847
Minnesota,2015.0,6.0,3.8,2904003,3018332
Mississippi,2015.0,6.0,6.4,1180051,1260610
Missouri,2015.0,6.0,5.2,2893337,3051939
Montana,2015.0,6.0,4.2,498041,520020
Nebraska,2015.0,6.0,3,983255,1013724
Nevada,2015.0,6.0,6.9,1298919,1395265
New Hampshire,2015.0,6.0,3.4,721993,747698
New Jersey,2015.0,6.0,5.8,4329561,4597878
New Mexico,2015.0,6.0,6.7,878794,942102
New York,2015.0,6.0,5.3,9229744,9742165
North Carolina,2015.0,6.0,5.8,4436722,4709361
North Dakota,2015.0,6.0,2.8,400880,412415
Ohio,2015.0,6.0,4.9,5443078,5724503
Oklahoma,2015.0,6.0,4.4,1748366,1828173
Oregon,2015.0,6.0,5.5,1863321,1972552
Pennsylvania,2015.0,6.0,5.4,6121599,6473711
Rhode Island,2015.0,6.0,6,531319,565447
South Carolina,2015.0,6.0,6,2108504,2242091
South Dakota,2015.0,6.0,3.1,436105,449968
Tennessee,2015.0,6.0,5.6,2905909,3078968
Texas,2015.0,6.0,4.4,12437703,13012436
Utah,2015.0,6.0,3.5,1409012,1460409
Vermont,2015.0,6.0,3.5,339631,351857
Virginia,2015.0,6.0,4.4,4043889,4228911
Washington,2015.0,6.0,5.4,3352409,3544400
West Virginia,2015.0,6.0,6.7,739950,793510
Wisconsin,2015.0,6.0,4.4,2954013,3090401
Wyoming,2015.0,6.0,4.1,288422,300779
Alabama,2015.0,7.0,6.1,2038753,2171593
Alaska,2015.0,7.0,6.2,338644,361138
Arizona,2015.0,7.0,6.1,2923947,3113926
Arkansas,2015.0,7.0,4.9,1268565,1334168
California,2015.0,7.0,6.1,17683551,18839426
Colorado,2015.0,7.0,3.6,2714079,2816411
Connecticut,2015.0,7.0,5.5,1794895,1899802
Delaware,2015.0,7.0,4.8,440447,462553
District of Columbia,2015.0,7.0,6.8,355633,381639
Florida,2015.0,7.0,5.5,9070599,9594674
Georgia,2015.0,7.0,6,4449743,4732561
Hawaii,2015.0,7.0,3.3,660162,682855
Idaho,2015.0,7.0,3.9,769082,800658
Illinois,2015.0,7.0,5.9,6171075,6558362
Indiana,2015.0,7.0,4.6,3114746,3266590
Iowa,2015.0,7.0,3.7,1638912,1701152
Kansas,2015.0,7.0,4.1,1435120,1496837
Kentucky,2015.0,7.0,5.2,1873354,1975923
Louisiana,2015.0,7.0,6.1,2013476,2144721
Maine,2015.0,7.0,4.3,658800,688316
Maryland,2015.0,7.0,5,3011021,3170232
Massachusetts,2015.0,7.0,4.7,3445963,3617532
Michigan,2015.0,7.0,5.4,4518278,4773803
Minnesota,2015.0,7.0,3.8,2904592,3018015
Mississippi,2015.0,7.0,6.3,1180996,1260747
Missouri,2015.0,7.0,5,2897044,3051015
Montana,2015.0,7.0,4.2,498044,520051
Nebraska,2015.0,7.0,3,984055,1014675
Nevada,2015.0,7.0,6.8,1300599,1395389
New Hampshire,2015.0,7.0,3.3,721800,746770
New Jersey,2015.0,7.0,5.7,4334275,4594206
New Mexico,2015.0,7.0,6.7,878314,941385
New York,2015.0,7.0,5.1,9237777,9736639
North Carolina,2015.0,7.0,5.7,4440973,4710903
North Dakota,2015.0,7.0,2.8,400580,412068
Ohio,2015.0,7.0,4.8,5444284,5720710
Oklahoma,2015.0,7.0,4.4,1746645,1826170
Oregon,2015.0,7.0,5.5,1868817,1976675
Pennsylvania,2015.0,7.0,5.4,6128703,6477709
Rhode Island,2015.0,7.0,5.9,531080,564458
South Carolina,2015.0,7.0,5.8,2111492,2241576
South Dakota,2015.0,7.0,3,436350,450029
Tennessee,2015.0,7.0,5.5,2910253,3079697
Texas,2015.0,7.0,4.4,12444249,13021327
Utah,2015.0,7.0,3.5,1411732,1463234
Vermont,2015.0,7.0,3.5,339191,351320
Virginia,2015.0,7.0,4.3,4045134,4226202
Washington,2015.0,7.0,5.4,3357201,3549209
West Virginia,2015.0,7.0,6.7,739274,792080
Wisconsin,2015.0,7.0,4.3,2956190,3090169
Wyoming,2015.0,7.0,4.2,287965,300513
Alabama,2015.0,8.0,6.1,2038592,2170789
Alaska,2015.0,8.0,6.2,338311,360803
Arizona,2015.0,8.0,6.1,2927735,3116760
Arkansas,2015.0,8.0,4.8,1269753,1333299
California,2015.0,8.0,6,17700481,18832394
Colorado,2015.0,8.0,3.5,2719018,2818352
Connecticut,2015.0,8.0,5.5,1793233,1897248
Delaware,2015.0,8.0,4.7,441354,463324
District of Columbia,2015.0,8.0,6.7,356395,382112
Florida,2015.0,8.0,5.4,9086573,9603740
Georgia,2015.0,8.0,5.9,4451724,4730889
Hawaii,2015.0,8.0,3.3,660999,683337
Idaho,2015.0,8.0,3.9,770313,801819
Illinois,2015.0,8.0,5.9,6174592,6560595
Indiana,2015.0,8.0,4.6,3122057,3272212
Iowa,2015.0,8.0,3.6,1638194,1700151
Kansas,2015.0,8.0,4,1436586,1497096
Kentucky,2015.0,8.0,5.2,1872988,1975210
Louisiana,2015.0,8.0,6,2009846,2138864
Maine,2015.0,8.0,4.2,658378,687297
Maryland,2015.0,8.0,5,3011997,3169189
Massachusetts,2015.0,8.0,4.7,3443969,3613335
Michigan,2015.0,8.0,5.2,4526683,4775840
Minnesota,2015.0,8.0,3.7,2904692,3017335
Mississippi,2015.0,8.0,6.3,1181419,1260887
Missouri,2015.0,8.0,4.9,2900782,3050439
Montana,2015.0,8.0,4.2,498282,520343
Nebraska,2015.0,8.0,3,985078,1015778
Nevada,2015.0,8.0,6.7,1302015,1395502
New Hampshire,2015.0,8.0,3.3,721985,746324
New Jersey,2015.0,8.0,5.5,4339449,4591020
New Mexico,2015.0,8.0,6.7,877754,940443
New York,2015.0,8.0,5,9245181,9732451
North Carolina,2015.0,8.0,5.7,4445724,4712347
North Dakota,2015.0,8.0,2.8,400542,411965
Ohio,2015.0,8.0,4.8,5443854,5717012
Oklahoma,2015.0,8.0,4.3,1744694,1823735
Oregon,2015.0,8.0,5.4,1874617,1980845
Pennsylvania,2015.0,8.0,5.3,6135356,6481593
Rhode Island,2015.0,8.0,5.8,530853,563629
South Carolina,2015.0,8.0,5.7,2114050,2241066
South Dakota,2015.0,8.0,3,436624,450086
Tennessee,2015.0,8.0,5.4,2914272,3080105
Texas,2015.0,8.0,4.5,12449698,13031358
Utah,2015.0,8.0,3.5,1414293,1465935
Vermont,2015.0,8.0,3.4,338865,350907
Virginia,2015.0,8.0,4.2,4045861,4223634
Washington,2015.0,8.0,5.4,3362097,3554823
West Virginia,2015.0,8.0,6.6,738638,790472
Wisconsin,2015.0,8.0,4.3,2958907,3091273
Wyoming,2015.0,8.0,4.3,287466,300273
Alabama,2015.0,9.0,6.1,2039481,2170975
Alaska,2015.0,9.0,6.3,337964,360526
Arizona,2015.0,9.0,6,2932087,3119596
Arkansas,2015.0,9.0,4.6,1271022,1332649
California,2015.0,9.0,5.9,17720714,18832610
Colorado,2015.0,9.0,3.4,2724911,2821852
Connecticut,2015.0,9.0,5.5,1792415,1895796
Delaware,2015.0,9.0,4.7,442333,464181
District of Columbia,2015.0,9.0,6.7,357080,382552
Florida,2015.0,9.0,5.3,9104753,9615536
Georgia,2015.0,9.0,5.8,4455084,4731195
Hawaii,2015.0,9.0,3.2,662028,684081
Idaho,2015.0,9.0,3.9,771568,802951
Illinois,2015.0,9.0,5.9,6178507,6565320
Indiana,2015.0,9.0,4.5,3129795,3278980
Iowa,2015.0,9.0,3.6,1638374,1700298
Kansas,2015.0,9.0,4,1438185,1497880
Kentucky,2015.0,9.0,5.2,1874199,1976555
Louisiana,2015.0,9.0,6,2006675,2134210
Maine,2015.0,9.0,4.1,658183,686620
Maryland,2015.0,9.0,4.9,3013556,3168394
Massachusetts,2015.0,9.0,4.6,3442842,3610168
Michigan,2015.0,9.0,5.1,4536323,4779395
Minnesota,2015.0,9.0,3.7,2905367,3017390
Mississippi,2015.0,9.0,6.3,1182453,1262078
Missouri,2015.0,9.0,4.8,2904897,3050791
Montana,2015.0,9.0,4.2,498755,520872
Nebraska,2015.0,9.0,3,986287,1017033
Nevada,2015.0,9.0,6.6,1303525,1395804
New Hampshire,2015.0,9.0,3.2,722671,746425
New Jersey,2015.0,9.0,5.3,4345839,4589208
New Mexico,2015.0,9.0,6.6,877366,939512
New York,2015.0,9.0,4.9,9254257,9732729
North Carolina,2015.0,9.0,5.6,4451487,4714568
North Dakota,2015.0,9.0,2.8,400709,412104
Ohio,2015.0,9.0,4.8,5443268,5715547
Oklahoma,2015.0,9.0,4.3,1743041,1821679
Oregon,2015.0,9.0,5.3,1880948,1985425
Pennsylvania,2015.0,9.0,5.3,6142650,6486574
Rhode Island,2015.0,9.0,5.7,530670,562994
South Carolina,2015.0,9.0,5.6,2116812,2241281
South Dakota,2015.0,9.0,2.9,436979,450221
Tennessee,2015.0,9.0,5.3,2919088,3081151
Texas,2015.0,9.0,4.5,12457708,13043523
Utah,2015.0,9.0,3.5,1417085,1468803
Vermont,2015.0,9.0,3.4,338696,350639
Virginia,2015.0,9.0,4.2,4046350,4221591
Washington,2015.0,9.0,5.4,3367955,3561553
West Virginia,2015.0,9.0,6.5,738169,789089
Wisconsin,2015.0,9.0,4.3,2962659,3094258
Wyoming,2015.0,9.0,4.4,286971,300090
Alabama,2015.0,10.0,6,2042129,2173053
Alaska,2015.0,10.0,6.3,337673,360364
Arizona,2015.0,10.0,5.9,2938149,3123660
Arkansas,2015.0,10.0,4.5,1272936,1332905
California,2015.0,10.0,5.8,17749464,18846578
Colorado,2015.0,10.0,3.4,2732409,2827738
Connecticut,2015.0,10.0,5.4,1792613,1895443
Delaware,2015.0,10.0,4.7,443464,465198
District of Columbia,2015.0,10.0,6.6,357727,382995
Florida,2015.0,10.0,5.2,9127220,9632214
Georgia,2015.0,10.0,5.8,4461180,4734979
Hawaii,2015.0,10.0,3.2,663407,685238
Idaho,2015.0,10.0,3.9,773071,804326
Illinois,2015.0,10.0,5.9,6185365,6575528
Indiana,2015.0,10.0,4.5,3139115,3288343
Iowa,2015.0,10.0,3.6,1639918,1702038
Kansas,2015.0,10.0,4,1439859,1499217
Kentucky,2015.0,10.0,5.2,1877123,1980054
Louisiana,2015.0,10.0,6,2004805,2131724
