soc_code_clean,high_exposure_score,low_exposure_score,ai_exposure_score,soc_code,occupation_title_2020,employment_2020,occupation_title_2025,employment_2025,pct_change
43-3051,3.98,1.555,2.425,43-3051,Payroll and Timekeeping Clerks,133870.0,Payroll and Timekeeping Clerks,153140.0,14.394561888399194
43-3061,3.465,2.578333333333333,0.8866666666666667,43-3061,Procurement Clerks,61000.0,Procurement Clerks,55810.0,-8.508196721311476
43-3071,3.015,2.0283333333333333,0.9866666666666668,43-3071,Tellers,423570.0,Tellers,329480.0,-22.21356564440352
43-4011,3.2775,1.805,1.4725,43-4011,Brokerage Clerks,44720.0,Brokerage Clerks,35940.0,-19.633273703041144
43-4021,3.725,2.0483333333333333,1.6766666666666667,43-4021,Correspondence Clerks,6150.0,Correspondence Clerks,4290.0,-30.24390243902439
43-4031,3.3600000000000003,2.106666666666667,1.2533333333333334,43-4031,"Court, Municipal, and License Clerks",156100.0,"Court, Municipal, and License Clerks",179750.0,15.150544522741832
43-4041,3.3674999999999997,2.0749999999999997,1.2925,43-4041,"Credit Authorizers, Checkers, and Clerks",24600.0,"Credit Authorizers, Checkers, and Clerks",12030.0,-51.09756097560976
43-4051,3.205,2.313333333333333,0.891666666666667,43-4051,Customer Service Representatives,2833250.0,Customer Service Representatives,2595750.0,-8.382599488220242
43-4061,3.2375,2.4066666666666667,0.8308333333333331,43-4061,"Eligibility Interviewers, Government Programs",138820.0,"Eligibility Interviewers, Government Programs",154800.0,11.511309609566345
43-4071,3.35,2.4,0.9500000000000002,43-4071,File Clerks,91560.0,File Clerks,73440.0,-19.790301441677588
43-4081,3.215,2.56,0.6549999999999998,43-4081,"Hotel, Motel, and Resort Desk Clerks",222550.0,"Hotel, Motel, and Resort Desk Clerks",261420.0,17.465738036396317
43-4111,3.21,2.185,1.025,43-4111,"Interviewers, Except Eligibility and Loan",173800.0,"Interviewers, Except Eligibility and Loan",148060.0,-14.810126582278482
43-4121,2.6525,2.0316666666666667,0.6208333333333331,43-4121,"Library Assistants, Clerical",84560.0,"Library Assistants, Clerical",85520.0,1.1352885525070955
43-4131,3.3125,1.7666666666666666,1.5458333333333334,43-4131,Loan Interviewers and Clerks,204100.0,Loan Interviewers and Clerks,164790.0,-19.260166585007347
43-4141,3.615,2.055,1.56,43-4141,New Accounts Clerks,45250.0,New Accounts Clerks,36860.0,-18.5414364640884
43-4151,3.5300000000000002,2.6316666666666664,0.8983333333333339,43-4151,Order Clerks,119640.0,Order Clerks,75200.0,-37.14476763624206
43-4161,2.9050000000000002,1.8533333333333335,1.0516666666666667,43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",108470.0,"Human Resources Assistants, Except Payroll and Timekeeping",90220.0,-16.824928551673274
43-4171,2.93,2.0083333333333333,0.9216666666666669,43-4171,Receptionists and Information Clerks,968420.0,Receptionists and Information Clerks,910180.0,-6.01391958034737
43-4181,2.7325,2.7916666666666665,-0.05916666666666659,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,110020.0,Reservation and Transportation Ticket Agents and Travel Clerks,118710.0,7.898563897473186
43-5011,3.385,3.0033333333333334,0.3816666666666664,43-5011,Cargo and Freight Agents,96510.0,Cargo and Freight Agents,97670.0,1.2019479846648016
43-5021,1.925,2.283333333333333,-0.35833333333333317,43-5021,Couriers and Messengers,70700.0,Couriers and Messengers,68640.0,-2.913719943422914
43-5031,2.8875,2.983333333333333,-0.09583333333333277,43-5031,Public Safety Telecommunicators,93290.0,Public Safety Telecommunicators,102500.0,9.872440776074606
