soc_code_clean,high_exposure_score,low_exposure_score,ai_exposure_score,soc_code,occupation_title
25-3031,2.3375,2.0733333333333337,0.2641666666666662,25-3031,"Substitute Teachers, Short-Term"
25-3041,2.855,2.103333333333333,0.7516666666666669,25-3041,Tutors
25-4011,2.94,2.0866666666666664,0.8533333333333335,25-4011,Archivists
25-4012,2.6,1.9566666666666668,0.6433333333333333,25-4012,Curators
25-4013,2.5949999999999998,2.105,0.48999999999999977,25-4013,Museum Technicians and Conservators
25-4022,2.935,2.171666666666667,0.7633333333333332,25-4022,Librarians and Media Collections Specialists
25-4031,2.7975,1.9833333333333332,0.8141666666666667,25-4031,Library Technicians
25-9021,2.98,2.361666666666667,0.6183333333333332,25-9021,Farm and Home Management Educators
25-9031,3.18,2.3666666666666667,0.8133333333333335,25-9031,Instructional Coordinators
25-9044,2.6825,1.8066666666666666,0.8758333333333335,25-9044,"Teaching Assistants, Postsecondary"
27-1011,2.685,1.9033333333333333,0.7816666666666667,27-1011,Art Directors
27-1012,2.4525,2.0216666666666665,0.4308333333333336,27-1012,Craft Artists
27-1013,3.04,2.228333333333333,0.811666666666667,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators"
27-1014,3.0175,1.8433333333333335,1.1741666666666666,27-1014,Special Effects Artists and Animators
27-1021,3.2,2.441666666666667,0.7583333333333333,27-1021,Commercial and Industrial Designers
27-1022,2.3249999999999997,1.6450000000000002,0.6799999999999995,27-1022,Fashion Designers
27-1023,2.685,2.245,0.43999999999999995,27-1023,Floral Designers
27-1024,2.955,1.8783333333333332,1.0766666666666669,27-1024,Graphic Designers
27-1025,3.08,2.983333333333334,0.09666666666666623,27-1025,Interior Designers
27-1026,2.3425000000000002,2.0716666666666668,0.2708333333333335,27-1026,Merchandise Displayers and Window Trimmers
27-1027,2.8225,2.348333333333333,0.4741666666666666,27-1027,Set and Exhibit Designers
27-2011,1.7325,1.5633333333333332,0.1691666666666667,27-2011,Actors
27-2012,2.81375,2.0016666666666665,0.8120833333333337,27-2012,Producers and Directors
27-2021,2.8625,2.6183333333333336,0.2441666666666662,27-2021,Athletes and Sports Competitors
27-2022,2.7474999999999996,2.5316666666666667,0.21583333333333288,27-2022,Coaches and Scouts
27-2023,1.985,1.8433333333333335,0.1416666666666666,27-2023,"Umpires, Referees, and Other Sports Officials"
27-2031,2.0575,2.0666666666666664,-0.009166666666666323,27-2031,Dancers
27-2032,2.165,1.8683333333333334,0.29666666666666663,27-2032,Choreographers
27-2041,2.5625,1.7383333333333333,0.8241666666666667,27-2041,Music Directors and Composers
27-2042,1.8875,1.575,0.3125,27-2042,Musicians and Singers
27-2091,2.97,2.3366666666666664,0.6333333333333337,27-2091,"Disc Jockeys, Except Radio"
27-3011,2.27,1.78,0.49,27-3011,Broadcast Announcers and Radio Disc Jockeys
27-3023,2.5575,2.0883333333333334,0.46916666666666673,27-3023,"News Analysts, Reporters, and Journalists"
27-3031,2.7525,1.795,0.9575,27-3031,Public Relations Specialists
27-3041,2.7525,2.0,0.7525,27-3041,Editors
27-3042,3.18,2.3033333333333332,0.8766666666666669,27-3042,Technical Writers
27-3043,2.585,1.5374999999999999,1.0475,27-3043,Writers and Authors
27-3091,2.5425,2.1716666666666664,0.37083333333333357,27-3091,Interpreters and Translators
27-3092,2.8775,1.7249999999999999,1.1525,27-3092,Court Reporters and Simultaneous Captioners
27-4011,2.74,2.4883333333333333,0.2516666666666669,27-4011,Audio and Video Technicians
27-4012,3.27,2.4883333333333333,0.7816666666666667,27-4012,Broadcast Technicians
27-4014,2.73,2.1233333333333335,0.6066666666666665,27-4014,Sound Engineering Technicians
27-4021,3.32,2.3533333333333335,0.9666666666666663,27-4021,Photographers
27-4031,2.5375,2.1316666666666664,0.4058333333333337,27-4031,"Camera Operators, Television, Video, and Film"
27-4032,3.035,1.985,1.05,27-4032,Film and Video Editors
29-1011,3.1,2.7983333333333333,0.30166666666666675,29-1011,Chiropractors
29-1021,2.6125,2.1933333333333334,0.41916666666666647,29-1021,"Dentists, General"
29-1022,3.2525,2.5633333333333335,0.6891666666666665,29-1022,Oral and Maxillofacial Surgeons
29-1023,2.95,2.223333333333333,0.726666666666667,29-1023,Orthodontists
29-1024,2.6525,2.19,0.4624999999999999,29-1024,Prosthodontists
29-1031,3.0275,2.3633333333333333,0.6641666666666666,29-1031,Dietitians and Nutritionists
29-1041,3.335,2.5533333333333332,0.7816666666666667,29-1041,Optometrists
29-1051,3.17,2.361666666666667,0.8083333333333331,29-1051,Pharmacists
29-1071,2.71,2.4066666666666667,0.30333333333333323,29-1071,Physician Assistants
29-1081,3.2325,2.486666666666667,0.7458333333333331,29-1081,Podiatrists
29-1122,2.22375,2.7691666666666666,-0.5454166666666667,29-1122,Occupational Therapists
29-1123,2.715,2.8166666666666664,-0.10166666666666657,29-1123,Physical Therapists
29-1124,2.955,2.668333333333333,0.28666666666666707,29-1124,Radiation Therapists
29-1125,2.52,2.936666666666667,-0.41666666666666696,29-1125,Recreational Therapists
29-1126,3.1675,3.5366666666666666,-0.36916666666666664,29-1126,Respiratory Therapists
29-1127,2.62,2.4216666666666664,0.1983333333333337,29-1127,Speech-Language Pathologists
29-1128,2.83,2.526666666666667,0.30333333333333323,29-1128,Exercise Physiologists
29-1129,2.3475,2.5708333333333333,-0.22333333333333316,29-1129,"Therapists, All Other"
29-1131,2.995,2.4383333333333335,0.5566666666666666,29-1131,Veterinarians
29-1141,2.811,2.6510000000000002,0.1599999999999997,29-1141,Registered Nurses
29-1151,3.14,2.7366666666666664,0.40333333333333377,29-1151,Nurse Anesthetists
29-1161,2.6950000000000003,2.5,0.19500000000000028,29-1161,Nurse Midwives
29-1171,2.7975,2.688333333333333,0.10916666666666686,29-1171,Nurse Practitioners
29-1181,3.5225,2.8066666666666666,0.7158333333333333,29-1181,Audiologists
29-1211,3.435,3.046666666666667,0.3883333333333332,29-1211,Anesthesiologists
29-1213,2.9225,2.3783333333333334,0.5441666666666665,29-1213,Dermatologists
29-1214,2.5825,2.638333333333333,-0.05583333333333318,29-1214,Emergency Medicine Physicians
