job_title,cluster,cluster_v2
"Neighborhood Branch Leader - Brighton, NMLS",10,39
Senior Datacenter Product Development Engineer,0,20
Medical Technologist (MT MLT) - Core Lab - Middletown - Part-Time - Evenings,20,35
"Staff Engineer, Test Data and Instrumentation",6,36
Data Editor (INDG),5,21
Data Center HR Business Partner,15,55
Medical Technologist (MT/MLT) - Competitive Package,20,35
NJDOH Database Manager/Administrator 3 - Badisa #: 20-01040,19,30
"Manager, Product Manager -- Machine Learning Experience, Enterprise Platform Development Team",7,3
HIM Data Integrity Spec 1,10,39
2023-61808 - Technical Writer - XML Documentation,10,39
"Lead Software Engineer, ML Platform - ST",13,6
Machine Learning Research Scientist,24,14
Data Engineer 4,6,36
Sr. Data Scienctist - Behaivior,10,59
Sales Director - Data & AI,10,39
Senior Data Scientist TS/SCI CI poly with Security Clearance,1,42
"Senior Data Manager, FP&A",7,3
"Sr. AWS Data Engineer  Austin, TX or Charlotte, NC (Hybrid)",10,39
Privacy and Data Protection Legal Counsel,23,52
Software Engineer - Data Transmission,16,6
IT Specialist (DATAMGT),21,5
ESRI Data Specialist,21,5
Data Manager II,7,3
Principal Big Data Architect,4,17
Bioinformatics Scientist - Virology Drug Discovery and Data Analysis,12,56
"Lab Scientist (MT/MLT/CLS/CLT) - 3:00AM-3:30PM, Weekend Days (Premium contr",11,11
Senior Azure Machine Learning Engineer,24,14
"Senior Data Analyst (Product Team) (Bangkok Based, relocation provided)",10,25
Data Analyst - I,5,21
Oracle 12c Database developer -locals,17,9
"Senior Manager, Data Science",18,1
"Senior Machine Learning Engineer - Seattle in Seattle, WA, USA",24,14
Dynamics 365 CE Sr. Developer (Remote) [NTT DATA],17,23
Medical Technologist/MLT - Full Time *Sign On*,20,33
Specialist Solutions Architect - Data Engineering,29,22
Marketing Data Analyst & Tableau Specialist,21,0
Retail Sales Consultant - MLK,10,15
Data Scientist/Senior Data Scientist,12,40
"Day 1 Onsite : Sr. Big Data Engineer : Mason, OH , Atlanta, GA and Richmond, VA",10,17
Marketing Data & Analytics Product Owner - Senior Directo,8,44
"Software Data Engineer, Java",16,6
Principal Solutions Architect - Data & Analytics,4,18
Investment and Product Analyst - DataTribe,5,44
"Senior, Machine Learning Engineer",24,14
"Senior Data Scientist, Computer Graphic",12,40
Lecturer - Engineering Data Science,18,22
"Lead Data Analyst – Marketing Strategy & Analytics (Bangkok-based, relocation provided)",10,50
Senior Data Engineer (Python),6,34
Database Administrator,19,30
Sr. BigData Developer (Onsite),17,9
"Senior Data Scientist (Relocate to HCMC, VietNam)",12,40
Part Time Oncology RN - Registered Nurse FMLA Coordinator - Newport News,10,39
Manager - Platform Architect Collaboration & Data Analytic,13,31
Data Architect Level 2,29,31
Enterprise Data Management (Technical),10,53
BI Data Analyst,5,21
SQL Database Administrator,19,30
Data and Funding Manager,7,3
Senior Machine Learning Infrastructure Engineer,24,14
Freelance Senior Data Analyst,5,48
Azure Data Engineer,6,36
Data Technology Team Lead – Mortgage Servicing,27,25
Information Services Unit Data Manager,7,3
Lead Well Data Analyst,27,58
QE Data Engineer,6,36
Data Warehouse Project Manager,7,24
Healthcare Data Analyst I,5,49
"Senior Manager, Data Engineering",7,22
"Lead Data Engineer (Fintech team) (Bangkok based, relocation provided)",27,25
Sr Digital Data Analyst,5,59
"Senior Technical Program Manager, Datacenter Compute Server Software",0,20
"Senior Manager, Ontology and Data Modeling",7,3
Senior Staff Machine Learning Engineer,24,14
Data Specialist,21,5
Data & Analytics Manager,8,51
Medical Lab Tech MLT PRN,11,35
Database Business Analyst,25,55
Clinical Data Manager,7,46
Data Engineer - Senior,6,34
Data Engineer Sr Manager - Enterprise Data Foundation,7,59
Data Developer,17,9
ML Postdoc Researcher - LLMs & Generative AI,3,12
Senior Data Scientist Managing Consultant,12,15
Technical Data Analyst,5,21
Database Technical Analyst 4-Support,5,28
"Director, Data Analysis",10,56
"Principal Software Engineer, Data",4,18
Bigdata Lead with Production support exp,27,58
"Senior Manager, Data Center Infrastructure Mgt (DCIM/Controls)",15,2
PRODUCTION MACHINE LEVEL I (Evening Shift Mon - Thurs),10,39
Data Reporting Analyst,5,21
Data Entry and Validation Associate,22,37
Data Processor - Bldg 2 - 2nd Shift,10,39
Data Scientist (MMM),12,40
Teacher - EL/ML (Long-Term Substitute),3,12
"Data Control Associate II, 2nd Shift",10,37
"GenAI Lead Data Scientist, Corporate Vice President",27,58
"Sr. Data Architect Azure & Databricks#@New York / Weehawken, NJ (Day 1 onsite )",10,26
Configuration and CDRL Data Manager (CM/DM) III - Platform One,13,4
Application & Database Manager,7,28
Senior Business Data Analyst - Seasonal 6 months,25,55
"Assistant General Counsel, Privacy and Data Protection",23,52
Team Lead/ Senior Software Engineer-Database Internals,16,25
Technical Lead (Java/XML) with Security Clearance,1,19
Vulnerability Analyst - Data & Systems,5,27
Senior C++ Research Engineer: Databases & AI Startup,3,8
Senior Data Analyst with Security Clearance,1,19
"Staff Product Manager, Data Security",7,44
"Mission Data Scientist, Senior with Security Clearance",1,19
Drupal Data Architect,29,31
Lead CX Data Analyst,27,58
Onsite Work Job for Data Architect- Banking and Payments Exp.,10,39
Senior Compiler Engineer – MLIR,6,34
"Registered Nurse - Nursing Data & Staffing Analyst at Veterans Affairs, Veterans Health Administration",10,39
Sr. Salesforce Data Cloud Solutions Architect,29,31
2024 PhD Graduate – Data Science – System Performance Evaluation,18,1
Hamley Steakhouse Executive Chef,10,39
"Tech Lead - AI/ML, Specialist",3,12
Senior MDM Global Data Specialist Americas,21,5
2024 MLB Gameday Compliance Monitor (Seasonal),10,39
"Senior Manager, Product, Card Data",7,44
Manager/Expert Practitioner - Data & Analytics,8,51
Sr. Manager - Data Assurance,7,3
Data Journalist/Reporter (P&C Insurance),10,39
Database Administrator III,19,30
"Director, Senior Quantitative Finance Analyst, AML Model Validator",9,39
Sr. ML Engineer,3,12
"Principal Associate, Ontologist and Data Modeling",4,37
"Manufacturing Data Engineer, Power Electronics Manufacturing",10,39
"Technologist II-Radiology, FT, Days, Barnes Crossing some weekends or MLT",20,33
"Staff Machine Learning Engineer, Software Vehicle Controls",24,14
"Summer Intern - Aviation, Data Analysis & Forecasting",10,56
Senior Internal Auditor – Anti Money Laundering (AML) / Financial Crimes,10,47
Senior Advisor Crime Data & Analysis,10,56
"Manager/Sr. Manager, Market Access Data Science",7,3
Configuration and CDRL Data Manager,7,3
Traveling MEP Superintendent - MSG - Data Centers,10,39
"Senior Software Engineer, Data Platform #3455",13,6
Open-Rank Faculty Position Data Science,18,1
Datadog Cloud Engineer Denver Colorado (3 days onsite),10,36
Senior Data Center Technician,15,2
Future Opportunity- Data Engineering Consultant,10,15
Staff Software Engineer - Data Science,16,6
Senior Python Developer for Data Engineering,17,9
Volunteer: Help Us Tell our Story Using Juvenile Justice and Mental Health Data Intern Volunteer,26,16
Quality Data Specialist Registered Nurse RN,28,57
Manager of Marketing Strategy & Data Analysis,7,50
"Engineering Manager, Document Database",7,22
Clinical Research Data Specialist at University of Miami,21,5
Financial Data Analyst,5,47
GIS Specialist- Senior (Database Administration) (Remote),21,23
"Sr. Associate, Data Configuration Management",10,53
Environment Database Administrator,19,30
Senior Network Engineer - Data Center,15,2
Principal Analyst--Data Steward and Automation Solutions,4,18
Data Center Manager,15,2
Engineering Manager: Databases,7,22
"Senior MLS Engineer, Autonomous Driving Startup",6,34
"Senior, Data Scientist",12,40
Medical Lab Scientist (MLS) - 0.8 FTE,11,45
(Global Oil Gas) Senior Data Scientist Expert,12,40
Senior P-12 Research & Data Analyst,5,8
Oracle Database Administrator,19,30
Data Architect Staff,29,31
Data Migration Deployment Manager,7,3
Senior Machine Learning Engineer - AI,24,14
"Data Engineer (Java, Spark, Kafka)",6,36
Senior Data Analyst in Sunnyvale CA,5,48
Senior Data Scientist - Clearance Required,12,40
Sr. Snowflake Data Engineer Charlotte NC or Austin TX,10,41
"Assistant Vice President, Data Governance",23,38
Sr. Data Developer,17,9
Expert Data Engineer with Security Clearance,1,19
Database Marketing Manager,7,50
Principal Data Engineer,4,18
"Performance Management and Data Analyst II, (Human Capital Performance Management Data Analyst II), Grade N25",5,53
Senior Data Scientist with Security Clearance,1,19
"Director, Securities Data Analysts",10,39
Data Center Supervisor,15,29
"Senior Quantitative Finance Analyst, AML Model Development",9,39
Manager- Business Data (Medicaid Reporting),25,55
Lead Machine Learning Engineer,24,14
Senior Datacenter Product Development Engineer - RAS SME,0,20
Principal Scientist - Machine Learning and AI,24,14
Consumer Operations Business Execution Sr. Lead- Issue and Exam Data and Analytics,8,51
Senior Data Visualization Analyst,5,48
CIRES/NOAA GML Trace Gas Observing Systems Research Scientist,12,8
Cybersecurity Signature Implementer/Data Security Analyst II with Security Clearance,1,19
IT Data Manager - HYBRID,7,3
Medical Technologist (MT/MLT) - Competitive Pay,20,35
Staff Data Scientist,12,40
Senior Data Developer,17,9
Data Engineering Manager,7,22
"Manager, Data Engineering (Python, AWS, Airflow, Snowflake) (Hybrid)",7,41
"Supervisor, Advanced Research Data Services",10,29
Enterprise Risk Adjustment Data Analyst III-,5,4
Metadata Specialist (Flex Hybrid),21,5
Architect - Data Engineering,29,22
Senior data manager,7,3
Manager* Clinical Data Management Solutions,7,46
Assistant Professor of Data Science and Analytics,18,54
Sr. Health Equity Data Project Manager,7,24
