state,year,month,unemployment_rate,employment,labor_force
California,2015.0,3.0,6.6,17587613.0,18838028.0
Colorado,2015.0,3.0,4.0,2696447.0,2809713.0
Connecticut,2015.0,3.0,5.8,1800921.0,1912140.0
Delaware,2015.0,3.0,5.0,436691.0,459436.0
District of Columbia,2015.0,3.0,7.2,352295.0,379763.0
Florida,2015.0,3.0,5.8,9008250.0,9560034.0
Georgia,2015.0,3.0,6.3,4437340.0,4736589.0
Hawaii,2015.0,3.0,3.7,656158.0,681108.0
Idaho,2015.0,3.0,3.9,762528.0,793573.0
Illinois,2015.0,3.0,6.0,6141482.0,6536364.0
Indiana,2015.0,3.0,5.1,3083199.0,3248870.0
Iowa,2015.0,3.0,3.8,1642145.0,1707029.0
Kansas,2015.0,3.0,4.4,1431738.0,1497293.0
Kentucky,2015.0,3.0,5.3,1878941.0,1983941.0
Louisiana,2015.0,3.0,6.6,2021504.0,2164327.0
Maine,2015.0,3.0,4.7,660558.0,693273.0
Maryland,2015.0,3.0,5.3,2996917.0,3163898.0
Massachusetts,2015.0,3.0,5.0,3445772.0,3627911.0
Michigan,2015.0,3.0,5.8,4487914.0,4763675.0
Minnesota,2015.0,3.0,3.8,2894084.0,3009713.0
Mississippi,2015.0,3.0,6.6,1171967.0,1255338.0
Missouri,2015.0,3.0,5.5,2881363.0,3050531.0
Montana,2015.0,3.0,4.2,497301.0,519291.0
Nebraska,2015.0,3.0,2.9,982371.0,1012006.0
Nevada,2015.0,3.0,7.3,1291256.0,1392287.0
New Hampshire,2015.0,3.0,3.7,722483.0,750431.0
New Jersey,2015.0,3.0,6.2,4314341.0,4600965.0
New Mexico,2015.0,3.0,6.6,879470.0,941739.0
New York,2015.0,3.0,5.6,9187558.0,9730674.0
North Carolina,2015.0,3.0,5.8,4421751.0,4693481.0
North Dakota,2015.0,3.0,2.7,403271.0,414498.0
Ohio,2015.0,3.0,5.1,5434385.0,5728534.0
Oklahoma,2015.0,3.0,4.2,1747012.0,1823690.0
Oregon,2015.0,3.0,5.7,1849561.0,1961126.0
Pennsylvania,2015.0,3.0,5.6,6095810.0,6454403.0
Rhode Island,2015.0,3.0,6.4,530920.0,567037.0
South Carolina,2015.0,3.0,6.3,2096610.0,2238395.0
South Dakota,2015.0,3.0,3.1,435380.0,449521.0
Tennessee,2015.0,3.0,5.9,2888465.0,3070631.0
Texas,2015.0,3.0,4.5,12414507.0,12994457.0
Utah,2015.0,3.0,3.5,1398739.0,1449776.0
Vermont,2015.0,3.0,3.6,340619.0,353266.0
Virginia,2015.0,3.0,4.6,4037220.0,4232923.0
Washington,2015.0,3.0,5.5,3334727.0,3528031.0
West Virginia,2015.0,3.0,6.6,742009.0,794694.0
