soc_code,occupation_title,employment_2025,forecast_2030,forecast_2035
21-1013,Marriage and Family Therapists,66740.0,87854.54545454588,104820.00000000093
21-1015,Rehabilitation Counselors,94740.0,77280.00000000047,67474.09090909129
21-1021,"Child, Family, and School Social Workers",392550.0,428683.6363636367,475399.0909090899
21-1022,Healthcare Social Workers,187630.0,205700.9090909101,221429.09090909176
21-1023,Mental Health and Substance Abuse Social Workers,132810.0,130010.90909090918,136716.36363636376
21-1091,Health Educators,65690.0,64671.81818181812,67501.81818181812
21-1092,Probation Officers and Correctional Treatment Specialists,89390.0,89151.81818181816,89494.0909090909
21-1093,Social and Human Service Assistants,437860.0,463731.81818181835,496957.72727272846
21-1094,Community Health Workers,61660.0,68957.27272727247,74718.18181818165
21-2011,Clergy,57200.0,61981.81818181812,66624.09090909082
21-2021,"Directors, Religious Activities and Education",22160.0,23621.818181818177,24632.727272727236
23-1011,Lawyers,754500.0,830448.1818181835,907598.1818181835
23-1012,Judicial Law Clerks,13290.0,14339.090909090912,14211.818181818184
23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",16370.0,15686.363636363647,16236.818181818177
23-1022,"Arbitrators, Mediators, and Conciliators",9210.0,9428.181818181823,10680.45454545453
23-1023,"Judges, Magistrate Judges, and Magistrates",24030.0,23242.727272727294,21204.545454545412
23-2011,Paralegals and Legal Assistants,392880.0,440315.4545454569,496443.1818181835
23-2093,"Title Examiners, Abstractors, and Searchers",48580.0,46275.454545454355,43345.90909090894
25-1011,"Business Teachers, Postsecondary",82150.0,78770.90909090918,77011.81818181823
25-1021,"Computer Science Teachers, Postsecondary",35480.0,38015.45454545447,40008.181818181765
25-1022,"Mathematical Science Teachers, Postsecondary",47670.0,43281.81818181812,40190.454545454355
25-1031,"Architecture Teachers, Postsecondary",7700.0,8214.545454545441,8680.909090909088
25-1032,"Engineering Teachers, Postsecondary",40270.0,39679.09090909094,40659.54545454547
25-1041,"Agricultural Sciences Teachers, Postsecondary",8920.0,6859.090909090883,5670.45454545453
25-1042,"Biological Science Teachers, Postsecondary",50190.0,51056.36363636363,51046.81818181818
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",1520.0,943.6363636363676,631.3636363636324
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",9900.0,10999.090909090908,11007.272727272726
25-1052,"Chemistry Teachers, Postsecondary",19980.0,19411.818181818177,18682.727272727236
25-1053,"Environmental Science Teachers, Postsecondary",6690.0,7544.54545454547,8242.727272727294
25-1054,"Physics Teachers, Postsecondary",13090.0,12628.181818181823,12151.818181818177
25-1061,"Anthropology and Archeology Teachers, Postsecondary",5240.0,4520.909090909088,4041.8181818181765
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",11300.0,12145.45454545453,13161.818181818177
25-1063,"Economics Teachers, Postsecondary",11560.0,10917.272727272706,10097.272727272706
25-1064,"Geography Teachers, Postsecondary",3330.0,2657.272727272735,2122.272727272735
25-1065,"Political Science Teachers, Postsecondary",16970.0,16050.909090909088,16002.272727272724
25-1066,"Psychology Teachers, Postsecondary",41530.0,42746.36363636365,44819.54545454553
25-1067,"Sociology Teachers, Postsecondary",11850.0,9961.818181818118,8252.272727272706
25-1071,"Health Specialties Teachers, Postsecondary",221270.0,247267.2727272734,269193.1818181835
25-1072,"Nursing Instructors and Teachers, Postsecondary",77960.0,88140.0,100035.90909090918
25-1081,"Education Teachers, Postsecondary",60830.0,59482.727272727265,59349.54545454545
25-1082,"Library Science Teachers, Postsecondary",3630.0,3283.636363636324,2713.1818181817944
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",13150.0,12560.0,11832.272727272706
25-1112,"Law Teachers, Postsecondary",20060.0,19612.727272727294,21064.09090909094
25-1113,"Social Work Teachers, Postsecondary",12610.0,13054.545454545456,13314.090909090912
25-1121,"Art, Drama, and Music Teachers, Postsecondary",93560.0,96007.27272727272,95943.63636363635
25-1122,"Communications Teachers, Postsecondary",29420.0,28605.454545454544,28611.363636363636
25-1123,"English Language and Literature Teachers, Postsecondary",57720.0,46009.09090909129,36818.181818182115
25-1124,"Foreign Language and Literature Teachers, Postsecondary",19830.0,12911.818181818351,7535.909090909176
25-1125,"History Teachers, Postsecondary",18790.0,16726.363636363647,14876.363636363647
25-1126,"Philosophy and Religion Teachers, Postsecondary",20460.0,18540.0,16741.81818181812
25-1192,"Home Economics Teachers, Postsecondary",2770.0,2240.909090909103,2047.2727272727352
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",12630.0,9188.181818181882,6285.0
25-1194,"Vocational Education Teachers, Postsecondary",114110.0,104019.09090909082,100407.2727272727
25-2011,"Preschool Teachers, Except Special Education",478780.0,485271.81818181835,520934.09090909176
25-2012,"Kindergarten Teachers, Except Special Education",108870.0,83630.0,61469.09090908989
25-2021,"Elementary School Teachers, Except Special Education",1388390.0,1382750.0,1378452.2727272727
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",620090.0,607400.9090909094,602760.4545454548
25-2023,"Career/Technical Education Teachers, Middle School",16870.0,14833.636363636353,15906.818181818177
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",1065210.0,1102302.7272727266,1139046.3636363633
25-2032,"Career/Technical Education Teachers, Secondary School",111420.0,115725.45454545412,130839.99999999907
25-2051,"Special Education Teachers, Preschool",29510.0,24275.45454545456,23745.45454545456
25-2057,"Special Education Teachers, Middle School",95200.0,106281.42857142817,118477.85714285634
25-2058,"Special Education Teachers, Secondary School",163930.0,185615.71428571455,206205.0
25-2059,"Special Education Teachers, All Other",33930.0,38677.272727272735,38939.09090909091
25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,37310.0,15060.0,-1155.9090909091756
25-3021,Self-Enrichment Education Teachers,332110.0,340411.8181818165,384143.1818181798
25-3031,"Substitute Teachers, Short-Term",524770.0,423481.4285714291,391588.57142857276
25-3041,Tutors,175070.0,205756.0,233566.0
25-4011,Archivists,7970.0,8590.909090909117,9600.000000000058
25-4012,Curators,12150.0,12421.818181818191,12673.636363636368
25-4013,Museum Technicians and Conservators,12310.0,13351.818181818177,13960.45454545453
25-4022,Librarians and Media Collections Specialists,133790.0,131027.14285714284,129918.21428571426
25-4031,Library Technicians,68690.0,56097.27272727247,42802.72727272753
25-9021,Farm and Home Management Advisors,8220.0,9202.727272727265,9436.363636363632
25-9031,Instructional Coordinators,227760.0,264685.4545454532,306616.8181818165
25-9044,"Teaching Assistants, Postsecondary",164090.0,181672.8571428582,206133.57142857276
27-1011,Art Directors,53070.0,63615.45454545412,73411.81818181789
27-1012,Craft Artists,4580.0,4433.636363636368,4329.545454545456
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",11220.0,9957.272727272706,9314.545454545441
27-1014,Multimedia Artists and Animators,19970.0,20236.363636363763,16632.727272727527
27-1021,Commercial and Industrial Designers,33490.0,30560.0,30228.636363636353
27-1022,Fashion Designers,21450.0,22080.0,23019.54545454547
27-1023,Floral Designers,40590.0,37763.63636363635,35886.818181818235
27-1024,Graphic Designers,197830.0,204606.36363636376,201970.90909090918
27-1025,Interior Designers,71500.0,81002.72727272753,90946.36363636376
27-1026,Merchandise Displayers and Window Trimmers,165220.0,228501.81818181835,269709.09090909176
27-1027,Set and Exhibit Designers,10630.0,8551.818181818177,7509.54545454547
27-2012,Producers and Directors,143120.0,176768.18181818165,199748.18181818165
27-2021,Athletes and Sports Competitors,15070.0,16370.90909090906,18545.0
27-2022,Coaches and Scouts,248950.0,241808.18181818165,247777.72727272706
27-2023,"Umpires, Referees, and Other Sports Officials",15780.0,10605.454545454355,7738.636363636237
27-2032,Choreographers,2860.0,2465.4545454545296,1481.3636363635887
27-2041,Music Directors and Composers,12540.0,5372.727272727294,1506.8181818181183
27-3011,Radio and Television Announcers,21240.0,19081.81818181835,15255.909090909176
27-3023,"News Analysts, Reporters, and Journalists",39250.0,39681.42857142864,38133.21428571432
27-3031,Public Relations Specialists,283380.0,315154.54545454495,347510.45454545505
27-3041,Editors,91690.0,92523.63636363635,91107.2727272727
