state,series_id,year,period,unemployment_rate,year_month
Florida,LASST120000000000003,2024,September,3.5,2024-September
California,LASST060000000000003,2024,October,5.4,2024-October
New York,LASST360000000000003,2024,October,4.1,2024-October
Texas,LASST480000000000003,2024,October,4.2,2024-October
Illinois,LASST170000000000003,2024,October,4.9,2024-October
Florida,LASST120000000000003,2024,October,3.5,2024-October
California,LASST060000000000003,2024,November,5.4,2024-November
New York,LASST360000000000003,2024,November,4.1,2024-November
Texas,LASST480000000000003,2024,November,4.2,2024-November
Illinois,LASST170000000000003,2024,November,4.8,2024-November
Florida,LASST120000000000003,2024,November,3.5,2024-November
California,LASST060000000000003,2024,December,5.4,2024-December
New York,LASST360000000000003,2024,December,4.1,2024-December
Texas,LASST480000000000003,2024,December,4.1,2024-December
Illinois,LASST170000000000003,2024,December,4.8,2024-December
Florida,LASST120000000000003,2024,December,3.5,2024-December
